Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Apr 09, 2019",55.32,55.35,55.43,54.9,13.34M
"Apr 08, 2019",55.68,55.28,55.74,55.2,11.76M
"Apr 05, 2019",55.6,55.75,55.95,54.87,19.27M
"Apr 04, 2019",55.92,55.27,56.14,55.27,16.52M
"Apr 03, 2019",55.48,55.03,55.99,54.89,24.55M
"Apr 02, 2019",54.36,54.53,54.8,54.23,13.70M
"Apr 01, 2019",54.51,54.34,54.57,54.1,17.83M
"Mar 29, 2019",53.7,53.8,54.04,53.48,18.74M
"Mar 28, 2019",53.11,53.25,53.44,52.77,13.61M
"Mar 27, 2019",53.16,53.59,53.86,52.94,19.66M
"Mar 26, 2019",53.44,53.32,53.77,53.04,17.72M
"Mar 25, 2019",52.78,52.97,53.55,52.38,16.97M
"Mar 22, 2019",53.26,54.4,54.62,53.21,21.44M
"Mar 21, 2019",54.64,53.92,54.99,53.84,19.13M
"Mar 20, 2019",53.82,54.06,54.4,53.61,24.33M
"Mar 19, 2019",54.17,54.47,54.65,54.0,18.27M
"Mar 18, 2019",54.1,54.42,54.51,53.87,16.27M
"Mar 15, 2019",54.33,53.68,54.69,53.68,46.49M
"Mar 14, 2019",53.44,54.3,54.45,53.33,26.65M
"Mar 13, 2019",54.37,54.0,54.57,53.65,25.52M
"Mar 12, 2019",53.57,53.34,53.96,53.17,20.78M
"Mar 11, 2019",53.35,52.88,53.65,52.57,18.96M
"Mar 08, 2019",52.48,51.97,52.56,51.7,16.79M
"Mar 07, 2019",52.6,52.77,52.98,52.36,17.80M
"Mar 06, 2019",52.95,53.63,53.65,52.94,14.74M
"Mar 05, 2019",53.68,53.85,53.99,53.11,21.06M
"Mar 04, 2019",53.94,53.75,54.1,53.2,21.71M
"Mar 01, 2019",53.3,53.44,53.68,52.89,18.36M
"Feb 28, 2019",52.96,52.92,53.18,52.81,18.39M
"Feb 27, 2019",53.24,52.76,53.38,52.51,17.59M
"Feb 26, 2019",53.23,53.01,53.37,52.91,16.08M
"Feb 25, 2019",53.1,53.06,53.61,52.86,20.71M
"Feb 22, 2019",52.49,52.7,52.98,52.05,31.93M
"Feb 21, 2019",51.41,51.32,51.84,51.21,16.16M
"Feb 20, 2019",51.39,51.63,51.73,51.06,21.61M
"Feb 19, 2019",51.4,51.35,51.71,51.34,15.61M
"Feb 15, 2019",51.66,51.25,51.67,51.09,22.52M
"Feb 14, 2019",50.81,50.41,51.04,50.35,17.55M
"Feb 13, 2019",50.47,50.13,50.81,50.0,17.71M
"Feb 12, 2019",50.01,49.36,50.14,49.27,18.05M
"Feb 11, 2019",48.77,49.02,49.32,48.58,18.00M
"Feb 08, 2019",48.84,48.77,49.02,48.01,18.85M
"Feb 07, 2019",49.23,49.5,49.85,48.68,27.83M
"Feb 06, 2019",49.9,49.95,50.64,49.82,21.65M
"Feb 05, 2019",50.01,49.18,50.72,49.18,31.64M
"Feb 04, 2019",49.22,48.62,49.24,48.24,20.91M
"Feb 01, 2019",48.73,47.06,49.05,47.01,37.44M
"Jan 31, 2019",47.12,46.7,47.18,46.1,43.05M
"Jan 30, 2019",47.54,46.68,47.68,46.45,26.93M
"Jan 29, 2019",46.54,46.78,46.97,46.33,20.99M
"Jan 28, 2019",46.71,46.13,46.73,46.05,35.93M
"Jan 25, 2019",47.04,46.85,47.43,45.75,86.47M
"Jan 24, 2019",49.76,48.7,50.03,48.6,50.58M
"Jan 23, 2019",47.94,48.41,48.8,47.52,18.96M
"Jan 22, 2019",48.27,48.96,48.98,47.87,25.94M
"Jan 18, 2019",49.19,49.11,49.38,48.69,29.87M
"Jan 17, 2019",48.47,48.0,48.84,47.91,17.45M
"Jan 16, 2019",48.13,48.6,48.89,48.08,19.06M
"Jan 15, 2019",48.6,48.71,49.13,48.44,22.48M
"Jan 14, 2019",48.35,48.46,48.83,48.3,19.19M
"Jan 11, 2019",48.93,48.1,49.29,48.05,21.75M
"Jan 10, 2019",48.56,47.75,48.65,47.41,27.20M
"Jan 09, 2019",48.01,47.96,48.57,47.78,22.55M
"Jan 08, 2019",47.74,47.8,48.03,46.78,22.75M
"Jan 07, 2019",47.44,47.1,47.99,46.75,22.74M
"Jan 04, 2019",47.22,45.84,47.57,45.54,35.45M
"Jan 03, 2019",44.49,46.15,46.28,44.39,32.27M
"Jan 02, 2019",47.08,45.96,47.47,45.77,18.77M
"Dec 31, 2018",46.93,47.09,47.48,46.55,20.49M
"Dec 28, 2018",46.75,46.51,47.74,46.3,24.73M
"Dec 27, 2018",46.36,45.62,46.38,44.67,29.97M
"Dec 26, 2018",46.19,44.0,46.2,43.51,28.68M
"Dec 24, 2018",43.59,44.63,45.17,43.54,19.24M
"Dec 21, 2018",44.84,45.75,46.65,44.8,52.77M
"Dec 20, 2018",45.54,45.41,46.31,45.01,37.75M
"Dec 19, 2018",45.57,47.49,47.73,45.38,39.72M
"Dec 18, 2018",47.74,47.47,48.45,47.36,29.01M
"Dec 17, 2018",47.08,47.86,48.41,46.66,26.60M
"Dec 14, 2018",47.86,47.89,48.76,47.85,26.37M
"Dec 13, 2018",48.29,48.26,48.58,47.85,19.53M
"Dec 12, 2018",47.83,48.58,48.64,47.41,31.31M
"Dec 11, 2018",47.38,47.9,48.59,47.13,23.85M
"Dec 10, 2018",47.21,46.28,47.46,46.01,23.29M
"Dec 07, 2018",46.24,47.94,48.06,46.23,34.02M
"Dec 06, 2018",48.37,46.8,48.39,46.52,31.66M
"Dec 04, 2018",47.75,49.52,49.6,47.67,35.40M
"Dec 03, 2018",50.13,50.0,50.49,49.53,30.87M
"Nov 30, 2018",49.31,47.95,49.32,47.56,43.31M
"Nov 29, 2018",47.7,48.49,48.56,47.63,23.59M
"Nov 28, 2018",48.86,47.94,48.88,47.65,28.00M
"Nov 27, 2018",48.07,46.94,48.22,46.59,27.62M
"Nov 26, 2018",47.45,47.27,47.46,46.7,20.72M
"Nov 23, 2018",46.54,46.69,47.07,46.52,8.91M
"Nov 21, 2018",47.03,47.85,47.88,47.02,19.01M
"Nov 20, 2018",47.39,47.4,48.12,47.09,29.20M
"Nov 19, 2018",48.0,48.61,49.15,47.78,26.86M
"Nov 16, 2018",48.83,47.77,49.05,47.69,31.67M
